;file_name;quality_photo;terminal;receipt;terminal_damaged;terminal_undamaged;terminal_unrecognized_defect;other;anticlass;hash
32;..\data\sorted_data_merged\damaged_augm\IMG_20230810_152946_062.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;f1397c989a99aabc1f93bec29e6002d4cdd45ec4121503fd4f8a98f74d3cf361
33;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_15-00-01.jpg_clache.jpeg;1;1;0;1;0;0;0;0;3bd1652e9908f5d2a65688435f17d8ff064d0cdd9c1c8c3d6263fa9c684c247a
34;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301757784_TS903204648-13ab4460-9224-4468-9a6f-ea3e6485159b.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;f02f1215b08be72059269f362d7695ab689886017ee74b885a2ac41b2229e0df
35;..\data\sorted_data_merged\damaged_augm\ЗНО0301300727_TS903109822-e8267fe0-ac43-4061-ba7b-7ac0ff008a73.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;9e8d988e5371607af83217f2dd43d26d51dde9ed4cc5b6d849c1490e4cf3fed4
36;..\data\sorted_data_merged\damaged_augm\ЗНО0301395563_TS903129378-4e9c5167-bec0-41e3-b0a3-d948fd544419.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;e92d77178e4621768d6ec0f5cf411014d9d2a71f3a64b68c9ca0dcafdb53a5fa
38;..\data\sorted_data_merged\damaged_augm\photo_1_2023-08-21_17-07-28.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;c52025cd0c4f28c12b7458f5b95951f0d2eb2deca06446c0346781e5702e4dba
39;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301666214_TS903186385-c75b8a70-d8e7-46ef-9b6c-b4c0681e5cf9.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;85d5dd3c7ed0fdcdff49a4ee35a810a16f90984a8ee9bca5eafdd0bf8fa0f4fe
40;..\data\sorted_data_merged\damaged_augm\photo1692623282 (2).jpeg_random_combs3.jpeg;1;1;0;1;0;0;0;0;e9151c0d7e0b66f4b104e0112e204d6159460e57782482a3215bd9dc9de4a864
42;..\data\sorted_data_merged\damaged_augm\ЗНО0301507606_TS903151232-9d5a81eb-3c9d-43ad-993c-ac48cacf487d.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;4306e65d53196fe39a761ce4feb29576451b0d3dfb9e48ea44062fa0c576f478
43;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301696770_TS903193482-eea2293a-4225-4c34-a48b-2cbf97c285e0.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;93bf18cc2dc3975d9b6c0bef19c8f4f944f1e9726ed43ae71ecf751c72375ab9
46;..\data\sorted_data_merged\damaged_augm\ЗНО0301502520_TS903149905-1aba5f4e-e96b-4ef2-bf30-58ade489fb1a.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;1bba1acdb509b2379de29dd717dec0cda164e000db03a54d94530b23a67920ba
50;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301672790_TS903188095-62330fa5-e90a-4505-9906-4df49ae2e9a0.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;58744bd6131a64583caa4ee7447ca4cc151ce5041f53aff4ed1a2215efd7fa06
51;..\data\sorted_data_merged\damaged_augm\ЗНО0301576036_TS903169393-dd8c0bf4-2fc3-4367-9a33-295ae081dfdd.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;1534a0ec453802bc89a48701e37aad28f834c0b1f073707a83b0d75f606ff103
54;..\data\sorted_data_merged\damaged_augm\ЗНО0301570455_TS903167854-3d3d82d9-8b11-455b-b25d-9d0ceac1da08.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;8ebe32d02e126b0459c96b8a7ca217eba7e6b0c68eaaeac75cd97e727facac52
55;..\data\sorted_data_merged\damaged_augm\ЗНО0301570455_TS903167854-3d3d82d9-8b11-455b-b25d-9d0ceac1da08.jpg_emboss.jpeg;1;1;0;1;0;0;0;0;125274640517aa12d57509d07348739e8f489d7914da3f640810b5deb2195d02
56;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301570455_TS903167854-3d3d82d9-8b11-455b-b25d-9d0ceac1da08.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;28b24f62e427b737b31d97bd3a1d5782d6a41523423b5c75dcd38f569fcdfe84
59;..\data\sorted_data_merged\damaged_augm\ЗНО0301401545_TS903130099-fe6d0797-2deb-4bae-b779-b80375322d6f.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;95e2a60428aafeb83f23dcaf6a1e2e3b361e7f0ab9e6a7b9ca90cdcf38cd08f2
60;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301641449_TS903181362-26c8f311-d219-489b-ba71-0e206b147856.jpg_clache.jpeg;1;1;0;1;0;0;0;0;f88f8ae699ee1582ba43174b75e73332fb3f98261c5b86588dc806a2f6a2e3f3
61;..\data\sorted_data_merged\damaged_augm\ЗНО0301400840_TS903130057-7db813df-6f3e-4331-80d7-c8a161e7f162.jpg_contr.jpeg;1;1;0;1;0;0;0;0;4a97bea46dff9f43794895f9fadc85da571804b7a878a0a887eac9ece2d59f19
64;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301755238_TS903203831-6f597d86-9136-438c-8f83-c19de9322a2d.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;0bf02211427eaf632ce46aebf457ada79c9485c70c6f33e7155100f2be352a5a
67;..\data\sorted_data_merged\damaged_augm\photo_3_2023-08-21_17-06-42.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;4a4eff5242c84101cd6dae59113d940443520783f2a601adca4032884d87e562
69;..\data\sorted_data_merged\damaged_augm\ЗНО0301515437_TS903152994-928af1c6-a285-421b-b51c-7389fd5e3797.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;5fca222f7311e7d8e2bdfb320c8f60f6813a71d1bc160528e75c291f92db5e26
72;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301668796_TS903187139-84968588-93e0-4472-8fe8-dd0fb48d96b2.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;9b95e8a705f2a0c24a8c795c72f5252b3294f8bc6fac85890caa1d978bca6f14
73;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301527800_TS903155469-431d5326-7d40-4532-984c-9071843114ef.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;c211b16f27898bc369d461cb11c385153018aa1ce9b8a142258e8032d9c20ab0
75;..\data\sorted_data_merged\damaged_augm\Без повреждений (14).jpeg_clache.jpeg;1;1;0;1;0;0;0;0;4c76485b35ed7f7f9d4f58e173f5e05aeb5c5b29f50fea0106c26cd5796a0f0c
77;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301586662_TS903171166-1a25236d-f7e2-45eb-adb2-e53da92b9d9b.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;1beea7e30c4720bc458711a6058c7eed0986e58ee6b40b5a92232b53d84d534b
90;..\data\sorted_data_merged\damaged_augm\ЗНО0301423095_TS903134613-8189478e-cde2-4bf5-b166-fedd5026c6ce.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;154a4c39a3d7d5902ddaeeb4b90ff07e1af9270099ed7f31b2d5367fe4beb4e9
94;..\data\sorted_data_merged\damaged_augm\ЗНО0301396697_TS903129676-a5040624-2980-42db-a878-e45b18ac3928.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;53cbe1cdb0d9d6b4316c29484afacc3fcbc2ef5837d4830b3625a515137aeab0
95;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_14-59-02.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;1f0dabbea6a384ce5ec3e9e63513ad91a13870e19a67016b6e97085b6f7a6cba
96;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301642340_TS903181637-10aa1e65-2be3-4e79-903f-f08f3f1a06fb.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;5e48dd9f3267058417989f28b17d67d6e2b70fe649126b244bc6fa98eea118b8
97;..\data\sorted_data_merged\damaged_augm\IMG_20230810_152954_199.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;27d8480b1177183f71e5e67b8e38b1f59434e41ec7ec5da7434d3884c5c6b341
98;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301641974_TS903181510-52d94cbb-6e0d-429a-9679-6eb33fe911d1.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;d69b8340d5434295c7b4d6b6c448f0f7026be8af584e6ed68575925b9f3829de
100;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_15-00-14.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;f0741994b3025a556831a89da55cc3a137602f7261dcff8df90c1e4b11054c6c
102;..\data\sorted_data_merged\damaged_augm\photo_8_2023-08-21_15-28-35.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;b16b8bd8161cede9282e22d9897fcb4dadfe5c0b1b9254e8737f3f8a94d92743
103;..\data\sorted_data_merged\damaged_augm\photo_1_2023-08-21_17-09-56.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;ce330b5c907b07b67ffc3f6e2860a39a7cdf5426f8a0ae7f2151f21352ab2b26
104;..\data\sorted_data_merged\damaged_augm\ЗНО0301338946_TS903117886-4a61d104-b784-4223-b864-8b00e7694008.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;0b98220092bf1b7d245fc9f2c68649b4faf35e763aac271d0b467e9e9e048133
105;..\data\sorted_data_merged\damaged_augm\Без повреждений (6).jpeg_gray_contr.jpeg;1;1;0;1;0;0;0;0;eb8be8a77fde923f7d48376dd6de77d34001b243822d42b4690d76b7bc309da9
107;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_14-58-25.jpg_gray_contr.jpeg;1;1;0;1;0;0;0;0;d9ff797cf3587cf964aa4b68332155a4551240845772af51ebf0ec577ed2cadc
108;..\data\sorted_data_merged\damaged_augm\ЗНО0301386331_TS903126734-d48b1054-dbb9-4e02-83d1-be76bcff4001.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;df260894b33f3e2bd31a00ea9bf734c6a6797ae72a05894fb0840fa8511961c7
109;..\data\sorted_data_merged\damaged_augm\С дефектами (1).jpeg_random_combs.jpeg;1;1;0;1;0;0;0;0;fa17d10c71fcc7ed7620b6de2604312db466396df8298c8d5416035f181960ae
111;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_16-49-20.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;1a4e607cd177d932bc54a8c82a269dcfae41138241c5c533cf4e56550a3b6103
114;..\data\sorted_data_merged\damaged_augm\photo1692623301 (3).jpeg_color_jitter.jpeg;1;1;0;1;0;0;0;0;a39651e78553e466cf3d3dbe52d2b755930129bb2f91213127ac269f488ff997
116;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301675961_TS903188820-534c2abe-a1f4-4736-aa6f-4c1c7f6a5690.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;8ebe2aea968b8a46a8cdc6fcd88784f00b78ac0b37f6f8775f904df485cc29c1
118;..\data\sorted_data_merged\damaged_augm\photo_10_2023-08-21_16-59-05.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;20a9be9924796f050a118d7a9fb98221e36ce25e9529541a8d79260852bbe656
119;..\data\sorted_data_merged\damaged_augm\photo_10_2023-08-21_16-59-05.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;7ef23d57ec856d40b756b01b1b6d42f7693e34ebd779dfb0675c20555541a789
124;..\data\sorted_data_merged\damaged_augm\ЗНО0301402430_TS903130205-42904d45-bdd4-47c7-9ad8-1925dd493bee.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;e8b07aaefa6f0435c73b7e5a2387d3928b69c78d93d427c62ae661e65beeaeec
125;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301668914_TS903187144-24428936-f689-474e-a383-01e86eb50541.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;2074b0885dc4102704e1bd0178e1482555f1c76211f1c57c09fb05d516127b78
127;..\data\sorted_data_merged\damaged_augm\ЗНО0301583876_TS903170671-cf7cf3a6-bab5-4e36-99fc-7412dd62a2e4.jpg_emboss.jpeg;1;1;0;1;0;0;0;0;0b11ff739449417f30e25cf5b0255c173ecbe17a2c9460416a0fbe0845b8693c
128;..\data\sorted_data_merged\damaged_augm\IMG_20230810_152942_753.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;785d08786b805e959d3530712746722e529410ec1e2c8fbb84503e11d9d72854
129;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301642363_TS903181639-2db75e8a-f9c7-4d39-b868-0174fde6be81.jpg_contr.jpeg;1;1;0;1;0;0;0;0;ced58004b9df34879a48f8a75672516e9c2fa40b6767e67daba7e9ce193090dd
131;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301641300_TS903181342-f656b754-927f-422d-82e8-1d2382c6e586.jpg_contr.jpeg;1;1;0;1;0;0;0;0;5a274e69b766d1ccee373f0284633624cb6f92f982ed723f96d67036ee964244
133;..\data\sorted_data_merged\damaged_augm\photo1692617578 (1).jpeg_color_jitter.jpeg;1;1;0;1;0;0;0;0;7d347d6a021965cf486f3e55961987b3b6b9992cbf1df61b1b2c7978fa5ec9bf
135;..\data\sorted_data_merged\damaged_augm\ЗНО0301395789_TS903129415-bef941a7-ed11-4792-9a9c-4de57823a309.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;f8e78ea62028a5c01dea93e4e0b8f1d8d456b0972c7cb763547dff260f499aa7
136;..\data\sorted_data_merged\damaged_augm\ЗНО0301415242_TS903133072-5bb8b849-286a-4acd-af19-bdc03a86ad5c.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;c55fe6181d71c2bcb2b68192631117f02cb71f244914b5c530288a3aca78b348
139;..\data\sorted_data_merged\damaged_augm\photo_2023-08-21_14-58-56.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;ed417a02b7b498982754a11398284ab6efb3388a29e4b2052edd404f6e35ab38
140;..\data\sorted_data_merged\damaged_augm\ЗНО0301516581_TS903153342-17fe93fc-f83a-4aa1-ad7f-ea0a1d2492c4.jpg_clache.jpeg;1;1;0;1;0;0;0;0;65d898e831bcc3495af58b30aa815a066830cd693e11b22d91b2c0a69e67deb5
142;..\data\sorted_data_merged\damaged_augm\photo1692623245 (9).jpeg_random_combs3.jpeg;1;1;0;1;0;0;0;0;c402299911d497c293dc92fed53153b72c2eeab904de235d1415404dd75b5331
143;..\data\sorted_data_merged\damaged_augm\photo_5_2023-08-21_17-00-07.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;9ca890472e08a9564acf339167bc10b1ced3ef1ad01ea2ff4886a6b48f675df6
144;..\data\sorted_data_merged\damaged_augm\ЗНО0301281182_TS903106142-e5afec3d-8411-484c-bf1b-954294ebb798.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;0d4b5f165c254278529dedce7a34826c587acbbb10723105a639bc60e9719231
145;..\data\sorted_data_merged\damaged_augm\Затёрты надписи и экран.jpg_clache.jpeg;1;1;0;1;0;0;0;0;5135516af0c50ff65bbed2ec0aaf72206af353d84bbe0db9c96145454494c5ad
146;..\data\sorted_data_merged\damaged_augm\ЗНО0301395311_TS903129355-b3da4ae5-4a83-4133-baa3-a919c8551dce.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;fd7938e2a8f138a9fba698a9ee840532cb5ee3cbb5f28102abedb79069a02da7
147;..\data\sorted_data_merged\damaged_augm\photo1692623275 (5).jpeg_hue_sat.jpeg;1;1;0;1;0;0;0;0;5a7dffc8ad25d90f9868f308d03ab05eeb9d2cf2ca14181f068eaedb0c2d99d2
152;..\data\sorted_data_merged\damaged_augm\photo1692623270 (1).jpeg_random_combs2.jpeg;1;1;0;1;0;0;0;0;f764f6bb2ae8ffd8aa9be7958aced56f8bab0d87109bcdd94415d359371e3ef3
156;..\data\sorted_data_merged\damaged_augm\photo_2023-08-11_16-54-20.jpg_random_combs2.jpeg;1;1;0;1;0;0;0;0;45aa7bf6b700b848852e33a8ed7dac8fac42ff001b0f8feb3a0d17a1593927b0
157;..\data\sorted_data_merged\damaged_augm\ЗНО0301402436_TS903130200-f1d9326e-f0a7-4d51-8d44-0fb4a35844af.jpg_hue_sat.jpeg;1;1;0;1;0;0;0;0;8ee3b7a36cf776c4300fcf0ca89932e35401de0e981c52fdd831cd6142dd62b8
162;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301676132_TS903188830-7c066c1f-c754-4fd3-98c6-e06bc443b73c.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;e235d6517f5694d0a144d3767073984e5b0a443c83489c3a368927a722f2a8cb
163;..\data\sorted_data_merged\damaged_augm\photo1692623275 (9).jpeg_contr.jpeg;1;1;0;1;0;0;0;0;6f8595bcf3f7646ff14797ce3924ae84ee0402b9c85b335f3412b99ee3f3a9b7
164;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301517352_TS903153535-c45b4331-39ca-49c0-9cd4-895e7d14778e.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;6fbee836f3c7f32e9e9e0fe6228f8bcb711b731b33cb8d0a249cb1944a502cef
165;..\data\sorted_data_merged\damaged_augm\ЗНО0301583228_TS903170552-bc65840c-baba-497a-9ab9-fc322c3f227b.jpg_random_combs3.jpeg;1;1;0;1;0;0;0;0;e0789c58ca55eef114404133b74a796b24e8d2f439cb057ef265eeefe3b7b14e
166;..\data\sorted_data_merged\damaged_augm\photo_2_2023-08-21_17-06-42.jpg_contr.jpeg;1;1;0;1;0;0;0;0;d5f1219d83b752156cacb68de0f7e9bf999204ff873a518565cc375c25b84c41
168;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301517685_TS903153592-19de9a00-1735-4e86-94da-d148ffb1c260.jpg_contr.jpeg;1;1;0;1;0;0;0;0;6a16d6e9d9a4a6a6cc2369a0e72d4b22fc82b3d328952c0ccdb7bde8ac57d1a0
172;..\data\sorted_data_merged\damaged_augm\ЗНО0301507606_TS903151232-9d5a81eb-3c9d-43ad-993c-ac48cacf487d.jpg_contr.jpeg;1;1;0;1;0;0;0;0;e18ef846b1529225c85dceef0536d97bf19591df2c69fbb87cbe0b9c1dd64133
174;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301685426_TS903190612-5da3570a-616b-439f-93f2-00d043d831f8.jpg_contr.jpeg;1;1;0;1;0;0;0;0;f2767f1ee3d460524f3a07eb9b3bef178be3e9f29a51767028bf50077f030659
176;..\data\sorted_data_merged\damaged_augm\ЗНО0301279000_TS903105871-dd0bbe1c-163b-4c68-befd-ed44271b9fbc.jpg_emboss.jpeg;1;1;0;1;0;0;0;0;2ea8e50ff63613d1af1dfb03f1f2861cf5e1021d133326d8ddac5e7885067769
177;..\data\sorted_data_merged\damaged_augm\ЗНО0301422586_TS903134538-85085f9f-3660-405a-a3c8-a2b7ddf20ee6.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;8138b3148fa9d2dc344777c28b74ee6167d7a2476de786dd97b81fdf190401bf
178;..\data\sorted_data_merged\damaged_augm\image-18-08-23-03-03-2.jpeg_gray_contr.jpeg;1;1;0;1;0;0;0;0;598949a4ad7a28a356fb28285736c23ac241c6f9e91d6c3ea3cb5c9e5d761f2a
179;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301572584_TS903168963-44282071-7a17-4172-bd50-bc566a549dd0.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;33f1c4223349a190b85539a05e3191946761cf1ab2195bd144c3059f1a7aa5eb
181;..\data\sorted_data_merged\damaged_augm\photo1692623282 (1).jpeg_random_combs.jpeg;1;1;0;1;0;0;0;0;76f5c58efcada5dd6fc6761dfe3b84e8e0ff56a4f54ed4cf843669e714b51ff6
182;..\data\sorted_data_merged\damaged_augm\photo_18_2023-08-21_15-28-35.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;44a2df0902d0a09845c14c43578cefd2506cb5a313bc1bac9ae8022aac7462ff
183;..\data\sorted_data_merged\damaged_augm\ЗНО0301394313_TS903129034-c3f5a964-ff01-4014-84c9-6515d9505aef.jpg_contr.jpeg;1;1;0;1;0;0;0;0;580bdc49a7a3679c93392681ba89f7e767c812d5d2a8efcd062f776aebe5f266
184;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301664762_TS903186083-edf7a6e5-87b0-40c7-9753-2fc83c64984e.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;75bfb5f1e3de078bdfeb96ca2255c3e0ac6b8f980ffd1f57fe83633dc922131d
187;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301634906_TS903179848-d0abd21f-d2fc-40b7-b41c-f7d304a7b64d.jpg_sharp.jpeg;1;1;0;1;0;0;0;0;13120b43afece2134faa89047bffd1bfbe0ce0349a0797bff18eced2ef30e429
188;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301584126_TS903170680-2f5ccec6-305a-422c-b64d-69a62a2465f8.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;a7976886e9b16c602b738bd7ba6ab1b247dca9dab8ab2d6d4622480fc20bae26
190;..\data\sorted_data_merged\damaged_augm\photo_1_2023-08-21_15-28-35.jpg_contr.jpeg;1;1;0;1;0;0;0;0;f85437876f2b91eed4eea6dec6cc7def60feb441048385d891e37e7f0ac72974
193;..\data\sorted_data_merged\damaged_augm\╨Ч╨Э╨Ю0301637013_TS903180290-2bed4406-d279-42e1-9871-c501dc803c01.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;19b8dfd04bee4f9091e6ac9c68ef7f06911a42e057a9d7377f0d8daad7e449c6
194;..\data\sorted_data_merged\damaged_augm\ЗНО0301281157_TS903106155-d28e7a7f-e348-44c0-a0c0-eb68bc92c3d1.jpg_color_jitter.jpeg;1;1;0;1;0;0;0;0;7a6b54ff791389598c9ee68b88cad690b0550483038f1991eb7d36cf3a19fa62
197;..\data\sorted_data_merged\damaged_augm\ЗНО0301516581_TS903153342-17fe93fc-f83a-4aa1-ad7f-ea0a1d2492c4.jpg_contr.jpeg;1;1;0;1;0;0;0;0;efea803c8ed698f9ab070d32a062b751c6a8df55ac66fcb0d5a357169054a53e
201;..\data\sorted_data_merged\damaged_augm\ЗНО0301392550_TS903128111-471424be-ece6-4fee-a9a8-02905bde566b.jpg_random_combs.jpeg;1;1;0;1;0;0;0;0;f434483ff3dcf98caa717037d101b3b82a3ea2aa3514084445128a841037ea83
